page_no,keyword_score,matched_keywords,snippet
8,22,砂堵,CONTENTS 目录第1章 压裂施工作业复杂情况与故障1.1 JY-A1HF井第9段砂堵 (1) 1.2 JY-A2HF井第10段砂堵 (3） 1.3 JY-A3HF井第6段砂堵 (4）1.4 JY-A4HF井第1段砂堵1.5 JY-A5HF井第1段砂堵1.6 J
9,5,砂堵,1.23 JY-A23HF井第11段砂堵 (54)1.24 JY-A24HF井第2、12段砂堵 (56)1.25 JY-A25HF井第4段砂堵 (60)1.26 JY-A26HF井第10段砂堵 (61) 1.27 J
10,1,酸液,4) 3.6 JY-D6HF井连续油管断脱 (167) 3.7 JY-D7HF井连续油管断脱 (170) 3.8 JY-D8HF井连续油管自锁 (172) 3.9 JY-D9HF井酸液污染钻塞液 (173) 3.10 JY-D10HF井钻塞卡钻 (174) 3.11 JY-D11HF井连续油管工具断脱 (177) 3.12 JY-D12HF井振荡器断裂 (1
12,1,放喷,4 JY-G4HF井手钳落井 (243)6.5 JY-G5HF井连续油管安装时吊车倾翻 (245) 6.6 JY-G6HF井第1段压裂与邻井压串 (247)6.7 JY-G7HF井放喷排液发现 \mathrm{H}_2\mathrm{S} (248) 6.8 JY-G8HF井第10段压裂酸降异常 (250)6.9 JY-G9HF井套管双公短节穿孔 (252)
14,14,砂堵、压力、排量、砂比、加砂、停泵,岩气水平井压裂产生影响。通过在钻井环节实时调整轨迹，在钻完井阶段处理井筒，在涪陵页岩气田形成了一切为了页岩气压裂的工作理念。压裂设备是压裂作业的主要设备，其作用是向井内注入高压、大排量压裂液，并将地层压开，将支撑剂挤入裂缝。涪陵页岩气田压裂施工压力一般在 60\sim 90\mathrm{MPa}，有的井施工压力高达 115\mathrm{MPa}。在压裂设
15,33,砂堵、砂桥、压力、排量、砂比、加砂、停泵、放喷,图1-1 压裂施工曲线1.1.3 处理过程砂堵停泵后，待压力降到 60\mathrm{MPa}，重新开泵试挤，排量 2.5\mathrm{m}^3/\mathrm{min}，压力升至 92\mathrm{MPa}，超压停泵
16,37,砂堵、堵塞、压力、排量、砂比、加砂、停泵、放喷、隔离液、沉砂,"1.1.5 经验教训 (1) 酸的解堵作用明显, 实现压降 16 \mathrm{MPa}, 保证了设计的顺利实施。(2) 本段施工发生的砂堵, 分析认为该段物性较好, 近井地带微裂缝发育, 导致液体滤失过大, 液体效率偏低, 因此 40 \mathrm{~m}^{3} 隔离液量未能满足均匀铺砂条件。(3) 加砂过程"
17,11,砂堵、压力、砂比、停泵、放喷、沉砂,图1-2 压裂施工曲线1.2.5 经验教训本井发生砂堵的主要原因是由于压裂设备故障导致停泵、沉砂。因此在压裂施工前，必须做好压裂设备的维护保养和检修工作，确保压裂施工过程中各设备正常运转，确保施工顺利。同时本井在施工前期发生砂堵，
18,37,砂堵、压力、排量、砂比、加砂、停泵、放喷、酸液,升至 92\mathrm{MPa}，导致超压停泵，发生砂堵。压裂施工曲线见图1-3。图1-3 压裂施工曲线1.3.3 处理过程本段砂堵停泵后，首先尝试 0.5\mathrm{m}^3 排量顶替，压力快速上升至限压后停泵。待压
19,20,砂堵、压力、排量、砂比、停泵、放喷、酸液,倍井筒容积。1.4 JY-A4HF 并第1段砂堵1.4.1 基本情况JY-A4HF井人工井底 4689.5\mathrm{m} 。第1段穿行于⑤号小层，井筒容积 49\mathrm{m}^3 。本段压裂设计液量 1470\m
20,38,砂堵、压力、排量、砂比、停泵、放喷、酸液,地层后压降不明显。采用低排量 1.5 \sim 2.0 \mathrm{~m}^{3} / \mathrm{min} 试挤减阻水，压力呈 94 \mathrm{MPa} 、 84 \mathrm{MPa}
21,29,砂堵、堵塞、压力、排量、砂比、停泵、放喷,压停泵，发生砂堵。压裂施工曲线见图1-5。图1-5 压裂施工曲线1.5.3 处理过程砂堵停泵后，先采用关井反应、开泵试挤的方法试挤二次，共试挤减阻水 33\mathrm{m}^3 ，
22,38,砂堵、压力、排量、砂比、加砂、停泵、隔离液,此在各井第1段压裂施工时，应以清洁钻井井筒污染为主要目的，控制好施工压力，降低施工风险，确保第1段压力施工能顺利完成。(2) 从本段压裂施工曲线可以看出，在减阻水加砂阶段，压力保持平稳，但使用高砂比转胶液时，压力出现大幅上升，造成砂堵。因此在以后的
