id,head,relation,tail,pages,evidence,weight
T00001,故障,发生于,试气压裂作业井,1,涪陵页岩气田试气压裂作业井复杂情况与故障案例分析,1
T00002,试气压裂作业井,发生于,涪陵页岩气田,1,涪陵页岩气田试气压裂作业井复杂情况与故障案例分析,1
T00003,复杂情况与故障,相关,试气压裂作业,2,涪陵页岩气田试气压裂作业井复杂情况与故障案例分析,1
T00004,复杂情况与故障,发生于,涪陵页岩气田,2,涪陵页岩气田试气压裂作业井复杂情况与故障案例分析,1
T00005,复杂情况与故障案例,发生于,涪陵页岩气田,3,本书共收录涪陵页岩气田近几年在试气压裂过程中的复杂情况与故障案例 118 篇,1
T00006,复杂情况与故障案例,包含,压裂施工作业,3,内容涵盖了压裂施工作业、泵送桥塞－射孔联作、连续油管作业,1
T00007,复杂情况与故障案例,包含,泵送桥塞－射孔联作,3,内容涵盖了压裂施工作业、泵送桥塞－射孔联作、连续油管作业,1
T00008,复杂情况与故障案例,包含,连续油管作业,3,内容涵盖了压裂施工作业、泵送桥塞－射孔联作、连续油管作业,1
T00009,复杂情况与故障案例,包含,带压作业,3,连续油管作业、带压作业（包括速度管柱完井作业）、试气测试作业,1
T00010,复杂情况与故障案例,包含,试气测试作业,3,带压作业（包括速度管柱完井作业）、试气测试作业等的复杂情况与故障,1
T00011,复杂情况,相关,故障,3,本书共收录涪陵页岩气田近几年在试气压裂过程中的复杂情况与故障案例 118 篇,1
T00012,复杂情况与故障,发生于,压裂施工作业,6,试气压裂作业过程中发生的复杂情况与故障,1
T00013,复杂情况与故障,相关,新技术,6,面对页岩气井分段压裂新技术...总结前期试气压裂作业过程中发生的复杂情况,1
T00014,涪陵页岩气田,包含,压裂施工作业,6,涪陵页岩气田...页岩气井分段压裂新技术,1
T00015,压裂施工作业,同义,试气压裂作业,6,试气压裂作业过程中发生的复杂情况与故障,1
T00016,JY-A1HF 井,表现为,砂堵,8,1.1 JY-A1HF 井第 9 段砂堵 (1),1
T00017,JY-A2HF 井,表现为,砂堵,8,1.2 JY-A2HF 井第 10 段砂堵 (3）,1
T00018,JY-A3HF 井,表现为,砂堵,8,1.3 JY-A3HF 井第 6 段砂堵 (4）,1
T00019,JY-A4HF 井,表现为,砂堵,8,1.4 JY-A4HF 井第 1 段砂堵,1
T00020,JY-A5HF 井,表现为,砂堵,8,1.5 JY-A5HF 井第 1 段砂堵,1
T00021,JY-A6HF 井,表现为,砂堵,8,1.6 JY-A6HF 井第 5 段砂堵 (9）,1
T00022,JY-A7HF 井,表现为,砂堵,8,1.7 JY-A7HF 井第 7 段砂堵 (12）,1
T00023,JY-A8HF 井,表现为,砂堵,8,1.8 JY-A8HF 井第 1 段砂堵 (14),1
T00024,JY-A9HF 井,表现为,砂堵,8,1.9 JY-A9HF 井第 2 段砂堵 (16),1
T00025,JY-A10HF 井,表现为,砂堵,8,1.10 JY-A10HF 井第 4 段砂堵 (19),1
T00026,JY-A11HF 井,表现为,砂堵,8,1.11 JY-A11HF 井第 1、10 段砂堵 (21),1
T00027,JY-A12HF 井,表现为,砂堵,8,1.12 JY-A12HF 井第 13 段砂堵 (26),1
T00028,JY-A13HF 井,表现为,砂堵,8,1.13 JY-A13HF 井第 1 段砂堵 (27),1
T00029,JY-A14HF 井,表现为,砂堵,8,1.14 JY-A14HF 井第 1 段砂堵 (29),1
T00030,JY-A15HF 井,表现为,砂堵,8,1.15 JY-A15HF 井第 5 段砂堵 (31),1
