id,name,type,description,pages,evidence
E00001,涪陵页岩气田,地层,页岩气开发的目标地质区域,"1,2,3,6,43,51,87,117,225,240,245,271",涪陵页岩气田试气压裂作业井复杂情况与故障案例分析 | 本书共收录涪陵页岩气田近几年在试气压裂过程中的复杂情况与故障案例 118 篇 | 涪陵页岩气田是我国在页岩气领域率先取得重大突破 | 本章主要介绍涪陵页岩气田在泵送桥塞 - 射孔联作施工环节出现的复杂情况与故障 | 本章主要介绍了涪陵页岩气田试气环节出现的分离器安全阀开启
E00002,试气压裂作业井,井,进行试气及压裂作业的井筒,1,涪陵页岩气田试气压裂作业井复杂情况与故障案例分析
E00003,故障,故障类型,作业过程中发生的设备或工艺问题,"1,3",涪陵页岩气田试气压裂作业井复杂情况与故障案例分析 | 本书共收录涪陵页岩气田近几年在试气压裂过程中的复杂情况与故障案例 118 篇
E00004,复杂情况,现象,作业中遇到的非正常工况现象,"1,3",涪陵页岩气田试气压裂作业井复杂情况与故障案例分析 | 本书共收录涪陵页岩气田近几年在试气压裂过程中的复杂情况与故障案例 118 篇
E00005,试气压裂作业,工况,作业工况类型,2,涪陵页岩气田试气压裂作业井复杂情况与故障案例分析
E00006,复杂情况与故障,故障类型,案例分析对象,"2,6",涪陵页岩气田试气压裂作业井复杂情况与故障案例分析 | 试气压裂作业过程中发生的复杂情况与故障
E00007,压裂施工作业,工况,本书涵盖的试气压裂作业类型之一,"3,6",内容涵盖了压裂施工作业、泵送桥塞－射孔联作、连续油管作业 | 内容涵盖压裂施工作业、泵送桥塞－射孔联作
E00008,泵送桥塞－射孔联作,工况,本书涵盖的试气压裂作业类型之一,"3,6",内容涵盖了压裂施工作业、泵送桥塞－射孔联作、连续油管作业 | 内容涵盖压裂施工作业、泵送桥塞－射孔联作
E00009,连续油管作业,工况,本书涵盖的试气压裂作业类型之一,"3,6",内容涵盖了压裂施工作业、泵送桥塞－射孔联作、连续油管作业 | 内容涵盖连续油管作业、带压作业
E00010,带压作业,工况,本书涵盖的试气压裂作业类型之一,"3,6,220,227",连续油管作业、带压作业（包括速度管柱完井作业）、试气测试作业 | 内容涵盖连续油管作业、带压作业 | 引起带压作业过程顶丝不到位 | 带压作业期间，应降低产量
E00011,试气测试作业,工况,本书涵盖的试气压裂作业类型之一,3,带压作业（包括速度管柱完井作业）、试气测试作业等的复杂情况与故障
E00012,新技术,其他,产能建设初期面对的页岩气井分段压裂技术,6,面对页岩气井分段压裂新技术、新工艺
E00013,新工艺,其他,产能建设初期面对的页岩气井分段压裂工艺,6,面对页岩气井分段压裂新技术、新工艺
E00014,砂堵,故障类型,压裂施工过程中砂子堵塞井筒或裂缝的现象,"8,9,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,32,34,35,36,37,39,40,41,42,43,44,45,46,47,48,49,50,53,54,55,56,57,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,171",1.1 JY-A1HF 井第 9 段砂堵 (1) | 1.23 JY-A23HF 井第 11 段砂堵 (54) | 本章主要介绍了涪陵页岩气田压裂过程中出现的砂堵 | 形成渐进性砂堵，导致施工压力急剧上升至 93MPa，形成砂堵 | 本段施工发生的砂堵
E00015,压裂施工作业复杂情况与故障,其他,本书第一章章节名称,"8,58",第 1 章 压裂施工作业复杂情况与故障 | 压裂施工作业复杂情况与故障 第 1 章
E00016,JY-A1HF 井,井,发生砂堵故障的页岩气井,"8,14",1.1 JY-A1HF 井第 9 段砂堵 (1) | 1.1 JY-A1HF 并第 9 段砂堵
E00017,JY-A2HF 井,井,发生砂堵故障的页岩气井,"8,16",1.2 JY-A2HF 井第 10 段砂堵 (3） | JY-A2HF 井第 10 段砂堵
E00018,JY-A3HF 井,井,发生砂堵故障的页岩气井,"8,17",1.3 JY-A3HF 井第 6 段砂堵 (4） | 1.3 JY-A3HF 并第 6 段砂堵
E00019,JY-A4HF 井,井,发生砂堵故障的页岩气井,"8,19",1.4 JY-A4HF 井第 1 段砂堵 | 1.4 JY-A4HF 并第 1 段砂堵
E00020,JY-A5HF 井,井,发生砂堵故障的页岩气井,"8,20",1.5 JY-A5HF 井第 1 段砂堵 | 1.5 JY-A5HF 并第 1 段砂堵...JY-A5HF 井人工井底 4286.54m
E00021,JY-A6HF 井,井,发生砂堵故障的页岩气井,"8,22",1.6 JY-A6HF 井第 5 段砂堵 (9） | 1.6 JY-A6HF 并第 5 段砂堵
E00022,JY-A7HF 井,井,发生砂堵故障的页岩气井,"8,25",1.7 JY-A7HF 井第 7 段砂堵 (12） | 1.7 JY-A7HF 并第 7 段砂堵
E00023,JY-A8HF 井,井,发生砂堵故障的页岩气井,"8,27",1.8 JY-A8HF 井第 1 段砂堵 (14) | 1.8 JY-A8HF 并第 1 段砂堵
