id,condition,conclusion,action,page,evidence
R00001,砂比 15% 中砂时压力快速上升,发生砂堵风险,超压停泵,14,砂比 15% 中砂时，压力快速升至 93MPa，超压停泵，发生砂堵
R00002,高压应力得不到有效释放,设备事故,停泵整改,14,集聚的高压应力得不到有效释放...造成压裂中途停泵整改
R00003,15% 砂比进入地层且裂缝延伸受限,形成渐进性砂堵,放喷解堵或挤酸,15,当 15% 砂比进入地层后，中砂进一步堆积，形成渐进性砂堵...决定放喷解堵
R00004,压力升至 92MPa,超压,停泵,15,压力升至 92MPa，超压停泵
R00005,压力升至 91MPa 后快速回落到 56MPa,部分炮眼被疏通,继续挤入减阻水,15,压力升至 91MPa 后快速回落到 56MPa 表明部分炮眼被疏通，低排量继续挤入减阻水
R00006,加砂过程中施工压力出现逐步上升趋势,砂比加砂进入地层异常,增加隔离液量，实时控制砂比，待施工压力平稳后再逐步提升砂比,16,施工压力出现逐步上升趋势...应实时控制砂比
R00007,解堵过程中试挤无效,无法通过试挤解堵,采取放喷方式，利用地层压力反向冲刷炮眼,16,当试挤无效时，可采取放喷方式，利用地层压力反向冲刷炮眼
R00008,停泵时正处于携砂液进入井筒,井筒沉砂堵塞炮眼风险,整改后尝试挤入地层或放喷解堵,16,由于停泵时正处于携砂液进入井筒，井筒共沉砂 1.7 m³
R00009,压裂设备故障导致停泵、沉砂,发生砂堵,做好压裂设备的维护保养和检修工作,17,本井发生砂堵的主要原因是由于压裂设备故障导致停泵、沉砂
R00010,施工前期发生砂堵,放喷解堵的方式适应性较好,解堵后正常完成后续施工,17,本井在施工前期发生砂堵，在解堵后正常完成后续施工
R00011,层理发育储层且砂比达 13%,形成突然性砂堵,控制临界砂比，保证有效加砂,18,针对层理发育储层，做好降滤控缝工艺优化，并控制临界砂比
R00012,砂堵后试挤压力曲线呈弹簧状,解堵效果不理想,直接采用放喷处理,18,施工压力曲线为“弹簧状”变化，表明解堵效果不理想。施工中遇到砂堵情况，可直接采用放喷处理
R00013,解堵放喷,提高解堵施工效率,放喷液量可选择 0.5~1.0,18,通过放喷液 25m3 后，一次性解堵成功。解堵放喷液量可选择 0.5~1.0
R00014,加入砂比 3% 粉陶段塞压力升至 92MPa,出现砂堵现象,放喷和低排量试挤减阻水,19,压力 74MPa 升至 82MPa 再至 92MPa 超压停泵，出现砂堵现象
R00015,泵车旋塞阀刺漏,施工中断,停泵整改,19,泵车旋塞阀刺漏，停泵整改。
R00016,施工压力高，与限压差值小,导致砂堵,多种解堵方法共同作用,20,由于施工压力高，与限压差值小，导致砂堵...可采用多种解堵方法来共同作用
R00017,第 1 段压裂施工砂堵,解堵施工难度较大,采用多种解堵方法,20,由于本段为第 1 段施工，砂堵后解堵施工难度较大...可采用多种解堵方法来共同作用
R00018,转换胶液后砂比 16% 中砂进入裂缝且缝宽较窄,形成突然性砂堵,控制砂比或监测压力趋势,21,当转换胶液后，砂比 16% 的中砂进入裂缝后形成突然性砂堵...由于缝宽较窄
R00019,砂堵后经过二次放喷、试挤和二次连续油管冲砂仍未解堵,解堵难度增加,改变施工方式如连续油管射孔,21,经过二次放喷、试挤和二次连续油管冲砂，仍未完全解堵...决定采用连续油管射孔方式
R00020,需要转换液性施工,降低施工风险,将顶替足够的隔离液后再转换液性,22,若需要转换液性施工，应将顶替足够的隔离液后再转换液性
R00021,胶液进入井筒后压力快速上升,防止超压,降排量,22,为防止超压，降排量至 12m³/min，有效控制了压力升高趋势
